Method,Return,Seed,Step,Task
Elephant,-5.0,0,600,Pixelcopter-PLE-v0
Elephant,-5.0,0,606,Pixelcopter-PLE-v0
Elephant,-5.0,0,610,Pixelcopter-PLE-v0
Elephant,-2.0,0,634,Pixelcopter-PLE-v0
Elephant,1.0,0,675,Pixelcopter-PLE-v0
Elephant,-5.0,0,679,Pixelcopter-PLE-v0
Elephant,-5.0,0,684,Pixelcopter-PLE-v0
Elephant,-5.0,0,688,Pixelcopter-PLE-v0
Elephant,-5.0,0,692,Pixelcopter-PLE-v0
Elephant,-5.0,0,696,Pixelcopter-PLE-v0
Elephant,0.0,0,736,Pixelcopter-PLE-v0
Elephant,-5.0,0,740,Pixelcopter-PLE-v0
Elephant,-1.0,0,771,Pixelcopter-PLE-v0
Elephant,-5.0,0,775,Pixelcopter-PLE-v0
Elephant,-5.0,0,779,Pixelcopter-PLE-v0
Elephant,-5.0,0,783,Pixelcopter-PLE-v0
Elephant,-5.0,0,787,Pixelcopter-PLE-v0
Elephant,-5.0,0,791,Pixelcopter-PLE-v0
Elephant,-3.0,0,810,Pixelcopter-PLE-v0
Elephant,-5.0,0,814,Pixelcopter-PLE-v0
Elephant,-1.0,0,843,Pixelcopter-PLE-v0
Elephant,-3.0,0,863,Pixelcopter-PLE-v0
Elephant,-5.0,0,868,Pixelcopter-PLE-v0
Elephant,-3.0,0,888,Pixelcopter-PLE-v0
Elephant,-5.0,0,893,Pixelcopter-PLE-v0
Elephant,-5.0,0,898,Pixelcopter-PLE-v0
Elephant,-5.0,0,902,Pixelcopter-PLE-v0
Elephant,-5.0,0,908,Pixelcopter-PLE-v0
Elephant,-5.0,0,912,Pixelcopter-PLE-v0
Elephant,-5.0,0,916,Pixelcopter-PLE-v0
Elephant,-5.0,0,921,Pixelcopter-PLE-v0
Elephant,-5.0,0,925,Pixelcopter-PLE-v0
Elephant,-5.0,0,929,Pixelcopter-PLE-v0
Elephant,-5.0,0,933,Pixelcopter-PLE-v0
Elephant,-5.0,0,937,Pixelcopter-PLE-v0
Elephant,-5.0,0,941,Pixelcopter-PLE-v0
Elephant,-5.0,0,945,Pixelcopter-PLE-v0
Elephant,-5.0,0,950,Pixelcopter-PLE-v0
Elephant,-5.0,0,954,Pixelcopter-PLE-v0
Elephant,-5.0,0,960,Pixelcopter-PLE-v0
Elephant,-2.0,0,984,Pixelcopter-PLE-v0
Elephant,-5.0,0,988,Pixelcopter-PLE-v0
Elephant,-5.0,0,992,Pixelcopter-PLE-v0
Elephant,-5.0,0,996,Pixelcopter-PLE-v0
Elephant,-5.0,0,1000,Pixelcopter-PLE-v0
Elephant,-5.0,0,1004,Pixelcopter-PLE-v0
Elephant,3.0,0,1056,Pixelcopter-PLE-v0
Elephant,0.0,0,1093,Pixelcopter-PLE-v0
Elephant,-1.0,0,1125,Pixelcopter-PLE-v0
Elephant,-1.0,0,1156,Pixelcopter-PLE-v0
Elephant,4.0,0,1218,Pixelcopter-PLE-v0
Elephant,-1.0,0,1249,Pixelcopter-PLE-v0
Elephant,-1.0,0,1279,Pixelcopter-PLE-v0
Elephant,5.0,0,1347,Pixelcopter-PLE-v0
Elephant,-1.0,0,1378,Pixelcopter-PLE-v0
Elephant,5.0,0,1444,Pixelcopter-PLE-v0
Elephant,0.0,0,1481,Pixelcopter-PLE-v0
Elephant,-1.0,0,1515,Pixelcopter-PLE-v0
Elephant,3.0,0,1571,Pixelcopter-PLE-v0
Elephant,-2.0,0,1599,Pixelcopter-PLE-v0
Elephant,-2.0,0,1623,Pixelcopter-PLE-v0
Elephant,-1.0,0,1657,Pixelcopter-PLE-v0
Elephant,-1.0,0,1689,Pixelcopter-PLE-v0
Elephant,4.0,0,1751,Pixelcopter-PLE-v0
Elephant,4.0,0,1811,Pixelcopter-PLE-v0
Elephant,-1.0,0,1840,Pixelcopter-PLE-v0
Elephant,-1.0,0,1869,Pixelcopter-PLE-v0
Elephant,2.0,0,1921,Pixelcopter-PLE-v0
Elephant,-2.0,0,1946,Pixelcopter-PLE-v0
Elephant,1.0,0,1990,Pixelcopter-PLE-v0
Elephant,4.0,0,2049,Pixelcopter-PLE-v0
Elephant,-2.0,0,2076,Pixelcopter-PLE-v0
Elephant,-1.0,0,2105,Pixelcopter-PLE-v0
Elephant,0.0,0,2141,Pixelcopter-PLE-v0
Elephant,-1.0,0,2172,Pixelcopter-PLE-v0
Elephant,-1.0,0,2202,Pixelcopter-PLE-v0
Elephant,7.0,0,2274,Pixelcopter-PLE-v0
Elephant,-2.0,0,2302,Pixelcopter-PLE-v0
Elephant,-2.0,0,2327,Pixelcopter-PLE-v0
Elephant,5.0,0,2394,Pixelcopter-PLE-v0
Elephant,0.0,0,2431,Pixelcopter-PLE-v0
Elephant,4.0,0,2494,Pixelcopter-PLE-v0
Elephant,2.0,0,2547,Pixelcopter-PLE-v0
Elephant,-2.0,0,2570,Pixelcopter-PLE-v0
Elephant,3.0,0,2626,Pixelcopter-PLE-v0
Elephant,3.0,0,2680,Pixelcopter-PLE-v0
Elephant,-2.0,0,2708,Pixelcopter-PLE-v0
