Method,Return,Seed,Step,Task
ReLU,-5.0,0,373,Pixelcopter-PLE-v0
ReLU,-5.0,0,382,Pixelcopter-PLE-v0
ReLU,-5.0,0,387,Pixelcopter-PLE-v0
ReLU,-4.0,0,400,Pixelcopter-PLE-v0
ReLU,-4.0,0,413,Pixelcopter-PLE-v0
ReLU,-4.0,0,424,Pixelcopter-PLE-v0
ReLU,-5.0,0,431,Pixelcopter-PLE-v0
ReLU,-4.0,0,442,Pixelcopter-PLE-v0
ReLU,-5.0,0,451,Pixelcopter-PLE-v0
ReLU,-3.0,0,470,Pixelcopter-PLE-v0
ReLU,-3.0,0,486,Pixelcopter-PLE-v0
ReLU,-4.0,0,497,Pixelcopter-PLE-v0
ReLU,-5.0,0,502,Pixelcopter-PLE-v0
ReLU,-4.0,0,515,Pixelcopter-PLE-v0
ReLU,-1.0,0,546,Pixelcopter-PLE-v0
ReLU,-5.0,0,554,Pixelcopter-PLE-v0
ReLU,-4.0,0,564,Pixelcopter-PLE-v0
ReLU,-2.0,0,592,Pixelcopter-PLE-v0
ReLU,-3.0,0,612,Pixelcopter-PLE-v0
ReLU,-4.0,0,622,Pixelcopter-PLE-v0
ReLU,3.0,0,681,Pixelcopter-PLE-v0
ReLU,4.0,0,739,Pixelcopter-PLE-v0
ReLU,-1.0,0,773,Pixelcopter-PLE-v0
ReLU,-2.0,0,798,Pixelcopter-PLE-v0
ReLU,-2.0,0,823,Pixelcopter-PLE-v0
ReLU,1.0,0,866,Pixelcopter-PLE-v0
ReLU,0.0,0,902,Pixelcopter-PLE-v0
ReLU,2.0,0,955,Pixelcopter-PLE-v0
ReLU,-2.0,0,980,Pixelcopter-PLE-v0
ReLU,-2.0,0,1005,Pixelcopter-PLE-v0
ReLU,-5.0,0,1010,Pixelcopter-PLE-v0
ReLU,-5.0,0,1019,Pixelcopter-PLE-v0
ReLU,-5.0,0,1023,Pixelcopter-PLE-v0
ReLU,-3.0,0,1039,Pixelcopter-PLE-v0
ReLU,-5.0,0,1044,Pixelcopter-PLE-v0
ReLU,-4.0,0,1059,Pixelcopter-PLE-v0
ReLU,-3.0,0,1078,Pixelcopter-PLE-v0
ReLU,-5.0,0,1084,Pixelcopter-PLE-v0
